m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
32,32,32,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2.71214
64,64,64,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,17.8432
96,96,96,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,51.5175
128,128,128,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,105.512
160,160,160,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,175.986
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,264.83
224,224,224,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,378.523
256,256,256,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,498.189
288,288,288,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,661.745
320,320,320,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,790.917
352,352,352,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,985.034
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1095.86
416,416,416,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1274.24
448,448,448,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1251.71
480,480,480,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1053.99
512,512,512,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1186.2
544,544,544,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1380.06
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1477.06
608,608,608,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1507.08
640,640,640,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1828.85
672,672,672,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1551.74
704,704,704,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2239.85
736,736,736,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1605.21
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2059.63
800,800,800,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1666.8
832,832,832,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2604.03
864,864,864,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2611.62
896,896,896,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2577.19
928,928,928,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1734.15
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2450.49
992,992,992,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1813.39
1024,1024,1024,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2746.99
1056,1056,1056,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2968.76
1088,1088,1088,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2883.05
1120,1120,1120,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1860.83
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2859.35
1184,1184,1184,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,1970.8
1216,1216,1216,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2922.33
1248,1248,1248,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3367.9
1280,1280,1280,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2948.22
1312,1312,1312,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2140.97
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3227.59
1376,1376,1376,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2221.69
1408,1408,1408,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3298.39
1440,1440,1440,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3183.35
1472,1472,1472,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3102.48
1504,1504,1504,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2393.05
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3613.68
1568,1568,1568,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2477.31
1600,1600,1600,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3221.4
1632,1632,1632,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3576.13
1664,1664,1664,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3287.13
1696,1696,1696,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2649.74
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3561.52
1760,1760,1760,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2734.68
1792,1792,1792,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3418.31
1824,1824,1824,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3570.12
1856,1856,1856,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3327.97
1888,1888,1888,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2799.64
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3590.96
1952,1952,1952,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2882.53
1984,1984,1984,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3476.27
2016,2016,2016,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3625.49
2048,2048,2048,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3369.61
2080,2080,2080,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,2955.14
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3985.41
2144,2144,2144,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3042.31
2176,2176,2176,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3447.19
2208,2208,2208,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3726.59
2240,2240,2240,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3528.64
2272,2272,2272,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3121.93
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3783.88
2336,2336,2336,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3122.23
2368,2368,2368,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3474.13
2400,2400,2400,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3849.93
2432,2432,2432,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3554.9
2464,2464,2464,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3219.16
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3917.27
2528,2528,2528,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3222.66
2560,2560,2560,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3513.67
2592,2592,2592,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3988.07
2624,2624,2624,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,clblas_sgemmNT_w9100_14502driver,3525.84
