m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,8.76417
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,58.4721
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,149.36
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,266.636
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,402.608
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,509.134
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,620.235
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,381.995
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,786.587
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,850.987
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,924.658
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,873.356
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1015.78
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1040.93
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1060.2
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,613.395
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1111.35
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1125.58
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1150.94
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1008.84
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1193.15
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1180.7
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1189.88
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,820.989
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1213.96
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1209.88
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1233.14
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1091.0
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1246.52
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_lower_unit_14502,1236.78
