m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,9.27487
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,60.4199
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,152.283
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,271.667
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,410.521
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,514.267
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,629.426
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,380.803
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,786.084
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,854.922
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,926.558
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,874.374
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1004.46
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1045.8
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1054.79
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,617.848
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1101.03
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1126.04
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1145.07
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1009.83
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1186.18
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1180.93
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1181.57
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,824.356
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1206.0
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1210.18
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1226.17
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1092.12
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1238.66
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_left_upper_unit_14502,1237.26
