m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,8.93028
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,58.3999
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,149.116
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,279.346
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,408.532
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,518.924
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,631.504
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,540.503
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,790.175
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,868.159
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,940.942
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,964.969
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1019.57
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1074.38
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1060.53
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,956.6
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1114.54
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1144.7
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1156.12
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1133.81
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1196.38
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1193.58
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1191.64
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1125.08
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1216.42
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1229.49
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1236.81
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1223.5
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1248.05
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_lower_unit_14502,1250.83
