m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,10.6716
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,70.5926
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,180.089
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,285.734
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,408.363
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,555.832
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,690.637
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,519.496
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,863.036
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,901.732
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1036.75
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1045.06
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1126.92
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1170.15
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1148.58
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,981.035
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1198.84
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1220.03
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1244.95
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1177.25
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1272.59
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1262.03
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1301.38
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1216.99
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1315.69
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1319.76
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1343.41
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1312.79
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1357.02
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,clblas271_w9100_dtrsm_col_right_upper_unit_14502,1348.39
