m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
32,32,32,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,2.27109
64,64,64,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,16.9685
96,96,96,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,56.0058
128,128,128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,114.849
160,160,160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,212.577
192,192,192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,355.603
224,224,224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,519.542
256,256,256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,761.754
288,288,288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,1040.16
320,320,320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,1299.26
352,352,352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,1566.48
384,384,384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,1828.98
416,416,416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,2134.13
448,448,448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,2345.89
480,480,480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,2754.89
512,512,512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3076.47
544,544,544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3224.44
576,576,576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,2827.18
608,608,608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3179.31
640,640,640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3620.86
672,672,672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3874.67
704,704,704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3822.13
736,736,736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,3994.36
768,768,768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4218.83
800,800,800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4307.77
832,832,832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4039.92
864,864,864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4377.48
896,896,896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4318.9
928,928,928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4234.38
960,960,960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4378.36
992,992,992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4352.72
1024,1024,1024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4574.29
1056,1056,1056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4368.32
1088,1088,1088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4806.25
1120,1120,1120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4460.99
1152,1152,1152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4507.26
1184,1184,1184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4297.52
1216,1216,1216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4860.26
1248,1248,1248,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4952.9
1280,1280,1280,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4731.69
1312,1312,1312,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4559.33
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5372.62
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5095.49
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,5481.53
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,cgemm,gpu,clblas,1,cgemm_col_nt_fijinano_1520,4799.71
