m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
32,32,32,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,0.568253
64,64,64,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,4.20387
96,96,96,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,13.4051
128,128,128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,29.3509
160,160,160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,56.6476
192,192,192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,86.8476
224,224,224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,103.255
256,256,256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,149.302
288,288,288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,184.036
320,320,320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,219.252
352,352,352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,254.561
384,384,384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,285.834
416,416,416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,285.295
448,448,448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,316.146
480,480,480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,324.806
512,512,512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,346.069
544,544,544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,349.757
576,576,576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,367.622
608,608,608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,374.997
640,640,640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,375.769
672,672,672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,392.726
704,704,704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,384.136
736,736,736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,380.629
768,768,768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,396.55
800,800,800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,377.09
832,832,832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,365.329
864,864,864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,401.467
896,896,896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,392.719
928,928,928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,384.13
960,960,960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,415.676
992,992,992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,394.292
1024,1024,1024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,412.433
1056,1056,1056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,413.993
1088,1088,1088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,410.952
1120,1120,1120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,418.839
1152,1152,1152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,425.103
1184,1184,1184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,429.722
1216,1216,1216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,430.361
1248,1248,1248,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,435.794
1280,1280,1280,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,401.553
1312,1312,1312,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,431.411
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,443.986
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,449.915
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,427.727
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,380.408
1472,1472,1472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,419.598
1504,1504,1504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,448.978
1536,1536,1536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.268
1568,1568,1568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,444.243
1600,1600,1600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,448.552
1632,1632,1632,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,454.429
1664,1664,1664,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,445.253
1696,1696,1696,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,458.888
1728,1728,1728,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,440.84
1760,1760,1760,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,453.311
1792,1792,1792,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,438.923
1824,1824,1824,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.468
1856,1856,1856,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,437.897
1888,1888,1888,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,457.644
1920,1920,1920,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,438.892
1952,1952,1952,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,455.919
1984,1984,1984,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,439.695
2016,2016,2016,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,456.162
2048,2048,2048,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,469.513
2080,2080,2080,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,456.825
2112,2112,2112,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,444.518
2144,2144,2144,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,dgemm,gpu,clblas,1,dgemm_col_nt_fijinano_1520,459.391
