m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
32,32,32,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,0.60684
64,64,64,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,5.09699
96,96,96,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,14.5356
128,128,128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,34.6077
160,160,160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,60.6455
192,192,192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,104.155
224,224,224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,153.214
256,256,256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,207.73
288,288,288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,299.856
320,320,320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,374.548
352,352,352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,540.344
384,384,384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,622.353
416,416,416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,821.506
448,448,448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,944.622
480,480,480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1004.71
512,512,512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1158.14
544,544,544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1383.02
576,576,576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1329.11
608,608,608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1452.31
640,640,640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1724.13
672,672,672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1782.92
704,704,704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2163.34
736,736,736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1905.82
768,768,768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2397.62
800,800,800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2313.14
832,832,832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2795.54
864,864,864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2525.39
896,896,896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2736.36
928,928,928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2127.52
960,960,960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2980.87
992,992,992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2372.01
1024,1024,1024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,3117.52
1056,1056,1056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,3579.84
1088,1088,1088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,3192.79
1120,1120,1120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,2966.26
1152,1152,1152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,3277.58
1184,1184,1184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,1988.19
1216,1216,1216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,1,sgemm_col_nt_fijinano_1520,3728.34
