m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,numQueues,label,GFLOPS
32,32,32,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,1.98154
64,64,64,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,14.361
96,96,96,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,45.0171
128,128,128,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,95.0874
160,160,160,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,150.551
192,192,192,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,195.774
224,224,224,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,238.205
256,256,256,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,294.947
288,288,288,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,289.614
320,320,320,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,313.955
352,352,352,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,360.831
384,384,384,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,400.813
416,416,416,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,391.687
448,448,448,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,382.485
480,480,480,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,387.621
512,512,512,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,426.092
544,544,544,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,406.356
576,576,576,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,410.041
608,608,608,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,429.266
640,640,640,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,430.198
672,672,672,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,433.371
704,704,704,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,437.61
736,736,736,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,440.554
768,768,768,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,459.728
800,800,800,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,446.541
832,832,832,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,442.845
864,864,864,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,434.908
896,896,896,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,436.278
928,928,928,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,436.605
960,960,960,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,438.456
992,992,992,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,437.347
1024,1024,1024,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,469.33
1056,1056,1056,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,443.024
1088,1088,1088,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,445.782
1120,1120,1120,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,450.069
1152,1152,1152,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,454.125
1184,1184,1184,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,459.064
1216,1216,1216,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,463.283
1248,1248,1248,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,468.245
1280,1280,1280,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.741
1312,1312,1312,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,461.61
1344,1344,1344,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,467.48
1376,1376,1376,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,471.432
1408,1408,1408,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,464.372
1440,1440,1440,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,466.837
1472,1472,1472,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,463.102
1504,1504,1504,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,470.008
1536,1536,1536,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.685
1568,1568,1568,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,470.618
1600,1600,1600,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,466.159
1632,1632,1632,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,473.025
1664,1664,1664,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,468.973
1696,1696,1696,0,0,0,0,0,0,1,1,column,none,transpose,left,upper,unit,zgemm,gpu,clblas,1,zgemm_col_nt_fijinano_1520,476.288
