m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
32,32,32,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,3.97911
64,64,64,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,24.6608
96,96,96,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,76.7334
128,128,128,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,164.289
160,160,160,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,287.539
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,464.733
224,224,224,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,543.099
256,256,256,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,732.31
288,288,288,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,934.397
320,320,320,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,1185.96
352,352,352,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,1087.23
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,transpose,left,upper,unit,sgemm,gpu,clblas,cublas_sgemmNT_k40,1279.18
