m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,44.2873
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,142.747
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,236.511
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,355.784
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,396.26
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,487.216
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,566.971
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,655.908
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,732.537
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,847.395
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,591.049
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,654.173
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,702.401
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,770.226
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,811.34
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,883.42
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,926.542
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,996.371
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1039.3
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1101.67
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,839.118
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,891.395
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,916.978
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,965.043
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,987.096
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1043.79
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1069.03
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1124.31
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1149.83
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,left,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_lower_unit,1199.03
