m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,43.9888
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,141.241
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,233.953
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,351.516
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,392.283
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,479.918
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,558.511
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,654.557
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,726.139
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,848.549
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,584.527
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,654.559
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,695.97
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,760.952
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,805.657
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,872.28
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,918.805
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,983.471
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1027.22
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1088.97
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,831.697
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,882.067
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,907.162
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,955.774
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,978.45
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1034.06
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1059.97
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1113.23
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1140.36
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,left,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_left_upper_unit,1189.4
