m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,45.3487
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,145.134
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,239.863
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,367.172
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,406.918
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,494.478
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,582.255
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,668.13
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,751.387
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,858.809
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,594.17
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,653.234
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,704.493
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,772.181
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,816.622
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,884.772
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,929.677
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,998.746
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1041.95
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1108.13
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,839.438
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,891.82
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,916.948
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,969.092
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,995.416
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1049.13
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1077.21
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1129.98
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1155.79
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,right,lower,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_lower_unit,1207.01
