m,n,k,lda,ldb,ldc,offa,offb,offc,alpha,beta,order,transa,transb,side,uplo,diag,function,device,library,label,GFLOPS
192,192,192,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,46.1787
384,384,384,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,147.372
576,576,576,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,245.046
768,768,768,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,374.345
960,960,960,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,416.657
1152,1152,1152,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,506.312
1344,1344,1344,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,594.72
1536,1536,1536,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,688.445
1728,1728,1728,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,774.941
1920,1920,1920,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,884.055
2112,2112,2112,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,602.674
2304,2304,2304,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,670.976
2496,2496,2496,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,716.48
2688,2688,2688,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,784.703
2880,2880,2880,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,829.554
3072,3072,3072,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,895.88
3264,3264,3264,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,946.6
3456,3456,3456,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1008.89
3648,3648,3648,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1056.94
3840,3840,3840,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1126.45
4032,4032,4032,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,847.914
4224,4224,4224,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,901.107
4416,4416,4416,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,928.518
4608,4608,4608,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,980.991
4800,4800,4800,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1005.44
4992,4992,4992,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1060.87
5184,5184,5184,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1089.33
5376,5376,5376,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1142.84
5568,5568,5568,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1169.42
5760,5760,5760,0,0,0,0,0,0,1.0,1.0,column,none,none,right,upper,unit,dtrsm,gpu,clblas,cublas75_k40_dtrsm_col_right_upper_unit,1222.24
